record_id,source_file,title,authors,year,journal,doi,final_include,resolution,audit_a_include,audit_b_include,metric_status,core_goal_status,artifact_status,exclusion_trigger_codes,final_reason_cn,confidence,fulltext_chars
186,00186_2021_will-humans-in-the-loop-become-borgs-merits-and-pitfalls-of-working-with-ai.md,Will Humans-in-the-Loop Become Borgs? Merits and Pitfalls of Working with AI,Andreas Fügener; Jörn Grahl; Alok Gupta; Wolfgang Ketter,2021,MIS Quarterly,10.25300/misq/2021/16553,False,independent_agreement_exclude,False,False,fully_objective_direct,theory_or_explanation_primary,algorithm_or_model_only,THEORY_OR_EXPLANATION_PRIMARY | OBJECTIVE_METRIC_NOT_CORE | NO_EXPLICIT_ARTIFACT_CLASS | NO_MATERIAL_ARTIFACT_CHANGE | NO_OPERATIONAL_INSTANTIATION,文章的主要客观指标（人类准确率、独特人类知识、群体准确率）均基于ImageNet事实标签和实际/模拟选择，客观可审计。但文章最终核心目标不是通过设计、构建或实质修改一个软件制品来提升这些指标，而是通过分析模型、实验和模拟揭示AI建议对人类独特知识和智慧众筹的效应并提出干预启示；属于行为/理论解释型研究。实验中的网页界面和个性化建议规则是研究工具与算法条件，不是作为软件制品贡献被实例化和运行。因此不满足“客观指标提升为最终核心目标”和“明确软件制品”两大必要条件。,0.9,118566
790,00790_2020_who-is-the-next-wolf-of-wall-street-detection-of-financial-intermediary-misconduct.md,Who Is the Next “Wolf of Wall Street”? Detection of Financial Intermediary Misconduct,Jens Lausen; Benjamin Clapham; Michael Siering; Peter Gomber,2020,Journal of the Association for Information Systems,10.17705/1jais.00633,False,independent_agreement_exclude,False,False,objective_fixed_factual_labels,theory_or_explanation_primary,algorithm_or_model_only,ALGORITHM_MODEL_ONLY | NO_EXPLICIT_ARTIFACT_CLASS | NO_MATERIAL_ARTIFACT_CHANGE | NO_OPERATIONAL_INSTANTIATION,文章使用的目标构念（金融中介违规）是基于 FINRA 最终披露的事实标签，分类性能指标客观可计算，因此指标部分通过。但文章核心是检验理论假设并评估数据特征和分类模型，而不是通过设计、构建或实质修改某一可运行的软件制品来提升指标；全文未给出任何软件制品类别、组件改造关系或运行实例，仅离线训练和评估了机器学习模型。因此不满足软件制品门槛，不能包含。,0.95,156566
1518,01518_2020_a-dynamic-shipment-matching-problem-in-hinterland-synchromodal-transportation.md,A dynamic shipment matching problem in hinterland synchromodal transportation,Wenjing Guo; Bilge Atasoy; Wouter Beelaerts van Blokland; Rudy R. Negenborn,2020,Decision Support Systems,10.1016/j.dss.2020.113289,False,independent_agreement_exclude,False,False,no_qualifying_metric,unclear,algorithm_or_model_only,ALGORITHM_MODEL_ONLY | NO_EXPLICIT_ARTIFACT_CLASS | NO_MATERIAL_ARTIFACT_CHANGE | NO_OPERATIONAL_INSTANTIATION,该文的核心贡献是设计滚动时域方法和启发式算法，以最小化动态货物匹配的总成本。总成本和计算时间都是客观可计算指标，但文章将其作为优化算法性能指标，而不是通过实现或修改软件制品来提升。全文没有明确的软件制品类别、组件改造关系或实际实例化/运行证据；提到在线匹配平台仅是问题背景和未来展望。因此，算法/模型边界和软件制品门均不通过，应排除。,0.95,78303
1558,01558_2022_designing-hybrid-mechanisms-to-overcome-congestion-in-sequential-dutch-auctions.md,Designing Hybrid Mechanisms to Overcome Congestion in Sequential Dutch Auctions,Yixin Lu; Alok Gupta; Wolfgang Ketter; Eric van Heck,2022,MIS Quarterly,10.25300/misq/2022/16472,False,adjudicated_exclude,False,True,fully_objective_direct,objective_improvement_primary,algorithm_or_model_only,MARKET_MECHANISM_DESIGN_NOT_SOFTWARE | NO_AUTHOR_SOFTWARE_MODIFICATION_EVIDENCE | EXISTING_DIGITAL_AUCTION_PLATFORM_AS_CONTEXT_ONLY,文章的核心是拍卖机制设计，而不是软件制品设计。作者提出一种混合竞拍规则，通过博弈论模型和荷兰鲜花拍卖市场的准自然现场实验，证明其能提高运营效率、价格稳定性且不损害收入；所有核心结果均为客观交易日志指标，因此前两项门槛通过。但全文没有任何证据表明作者设计、构建或实质修改了某个软件制品或组件；混合机制的现场实施更像是既有数字拍卖系统上的规则变化，不能仅凭“implemented on three clocks”认定为作者实现的软件组件。按照证据不足即排除和软件制品门槛从严处理的原则，本文应被排除。,0.85,131637
1560,01560_2020_sustaining-a-good-impression-mechanisms-for-selling-partitioned-impressions-at-ad-exchanges.md,Sustaining a Good Impression: Mechanisms for Selling Partitioned Impressions at Ad Exchanges,Sameer Mehta; Milind Dawande; Ganesh Janakiraman; Vijay Mookerjee,2020,Information Systems Research,10.1287/isre.2019.0878,False,independent_agreement_exclude,False,False,fully_objective_direct,objective_improvement_primary,algorithm_or_model_only,NO_EXPLICIT_ARTIFACT_CLASS | NO_MATERIAL_ARTIFACT_CHANGE | NO_OPERATIONAL_INSTANTIATION | ALGORITHM_MODEL_ONLY,该文的核心指标是广告交易所期望收入，属于完全客观且以客观提升为核心目标的经济指标；但是软件制品门槛不满足。全文设计的是拍卖机制、分配/支付规则和动态规划算法，属于机制设计与算法模型研究，没有明确描述、构建或实质修改某一可运行的软件制品，也没有实现、实例化或运行该机制作为软件组件。数值实验是在合成实例上计算期望值，不能替代软件制品的运行证据。因此严格排除。,0.95,128595
1790,01790_2020_predicting-shareholder-litigation-on-insider-trading-from-financial-text-an-interpretable-deep-l.md,Predicting shareholder litigation on insider trading from financial text: An interpretable deep learning approach,Rong Liu; Feng Mai; Zhe Shan; Ying Wu,2020,Information & Management,10.1016/j.im.2020.103387,False,independent_agreement_exclude,False,False,objective_fixed_factual_labels,objective_improvement_primary,algorithm_or_model_only,NO_EXPLICIT_ARTIFACT_CLASS | NO_MATERIAL_ARTIFACT_CHANGE | NO_OPERATIONAL_INSTANTIATION | ALGORITHM_MODEL_ONLY,客观指标（内幕交易相关股东诉讼的AUC）及其作为核心目标均明确通过；然而，文章将所提方法描述为'analytics framework'，实现并评估的只是一个离线深度预测模型，未将其作为某类软件制品（如检测系统、决策支持系统、应用程序）的特定组件在真实系统或运行环境中实例化，也没有实际改造任何平台或工具。因此不满足软件制品三证据要求。,0.92,114498
1944,01944_2020_a-novel-recommendation-model-for-online-to-offline-service-based-on-the-customer-network-and-ser.md,A Novel Recommendation Model for Online-to-Offline Service Based on the Customer Network and Service Location,Yuchen Pan; Desheng Wu,2020,Journal of Management Information Systems,10.1080/07421222.2020.1759927,False,independent_agreement_exclude,False,False,fully_objective_direct,objective_improvement_primary,algorithm_or_model_only,NO_EXPLICIT_ARTIFACT_CLASS | NO_MATERIAL_ARTIFACT_CHANGE | NO_OPERATIONAL_INSTANTIATION | ALGORITHM_MODEL_ONLY,文章核心目标是提出并改进O2O推荐模型，使用Precision、Recall、F-Score等客观推荐性能指标评估，指标基于用户实际服务使用记录（客观行为事实），因此满足客观指标和核心目标条件。但全文仅将CNLRec作为推荐算法/模型在离线数据集上评估，没有明确指定其为软件制品类别，没有构建或实质修改任何可运行的软件系统/组件，也没有在实际系统中实例化运行。因此，不满足软件制品的三个必要条件，予以排除。,0.98,98008
2006,02006_2022_cross-lingual-cybersecurity-analytics-in-the-international-dark-web-with-adversarial-deep-repres.md,Cross-Lingual Cybersecurity Analytics in the International Dark Web with Adversarial Deep Representation Learning,Mohammadreza Ebrahimi; Yidong Chai; Sagar Samtani; Hsinchun Chen,2022,MIS Quarterly,10.25300/misq/2022/16618,False,independent_agreement_exclude,False,False,objective_fixed_factual_labels,objective_improvement_primary,algorithm_or_model_only,NO_EXPLICIT_ARTIFACT_CLASS | NO_MATERIAL_ARTIFACT_CHANGE | ALGORITHM_MODEL_ONLY,该文的目标和核心贡献确实是提升黑客资产检测的客观性能指标（Accuracy、F1、AUC），标签属于可由操作性规则定义的事实类别，因此指标门槛通过。但软件制品门槛未通过：全文将 CLHAD 称为 IT artifact 或 framework，实际描述的是 ADREL+二元分类器的机器学习方法，没有明确说明它构成或嵌入某类实际运行的软件制品（如检测系统、平台、工具、插件、界面、决策支持系统等）。作者只提供了模型和代码，在数据集上训练和评估，属于算法/模型层面，而非被实例化的软件制品或制品组件。因此严格排除。,0.93,78736
2826,02826_2022_combining-crowd-and-machine-intelligence-to-detect-false-news-on-social-media.md,Combining Crowd and Machine Intelligence to Detect False News on Social Media,Xuan Wei; Zhu Zhang; Mingyue Zhang; Weiyun Chen; Daniel Dajun Zeng,2022,MIS Quarterly,10.25300/misq/2022/16526,False,independent_agreement_exclude,False,False,objective_fixed_factual_labels,objective_improvement_primary,algorithm_or_model_only,NO_EXPLICIT_ARTIFACT_CLASS | NO_MATERIAL_ARTIFACT_CHANGE | ALGORITHM_MODEL_ONLY,核心指标（虚假新闻检测的PR AUC/F1等）基于外部事实核查标签，构念客观，且改进该指标是文章核心目标；但CAND是一个算法/建模框架，文章没有明确其为某类软件制品，也没有对现有平台或系统组件进行实质性改造和实例化部署，仅是离线训练并评估模型。因此不满足软件制品必要条件。,0.92,125933
3686,03686_2020_finding-useful-solutions-in-online-knowledge-communities-a-theory-driven-design-and-multilevel-a.md,Finding Useful Solutions in Online Knowledge Communities: A Theory-Driven Design and Multilevel Analysis,Xiaomo Liu; G. Alan Wang; Weiguo Fan; Zhongju Zhang,2020,Information Systems Research,10.1287/isre.2019.0911,False,independent_agreement_exclude,False,False,subjective_construct_with_fixed_labels,objective_improvement_primary,implemented_software_artifact,SUBJECTIVE_CONSTRUCT | HUMAN_SEMANTIC_JUDGMENT,文章核心目标虽然是构建并评估一个文本分析/机器学习系统以提升“有用解决方案”的预测性能，但其目标构念是用户感知到的信息有用性，标签来自提问者或领域专家的人工判断。即使 f-measure 等计算指标可客观计算，也属于“主观构念+固定标签”，不满足完全客观指标的要求。因此客观性三关失败，严格纳入不成立。软件制品方面，作者确实实例化了包含爬虫、解析器、特征提取和分类器的系统，因此制品相关门槛可通过。,0.97,123117
