record_id,source_file,title,authors,year,journal,doi,final_include,resolution,audit_a_include,audit_b_include,metric_status,core_goal_status,artifact_status,exclusion_trigger_codes,final_reason_cn,confidence,fulltext_chars
1142,01142_2020_words-matter-toward-a-prosocial-call-to-action-for-online-referral-evidence-from-two-field-exper.md,Words Matter! Toward a Prosocial Call-to-Action for Online Referral: Evidence from Two Field Experiments,Jaehwuen Jung; Ravi Bapna; Joseph M. Golden; Tianshu Sun,2020,Information Systems Research,10.1287/isre.2019.0873,True,independent_agreement_include,True,True,fully_objective_direct,objective_improvement_primary,implemented_artifact_component,,文章核心目标是优化在线推荐 CTA 以提高推荐行为和购买转化等完全客观结果；主要结果变量（是否推荐、推荐数、接收者购买数/转化）均由平台日志和交易记录确定，不依赖主观感知或语义判断。研究通过设计并实际运行四个版本的电子邮件 CTA 及对应落地页组件，在大规模真实平台上进行了随机现场实验，实现了对在线推荐流程中数字组件（邮件/CTA 按钮/落地页）的实质性设计变更和实例化运行，并以客观结果评价其效果。MTurk 中的主观量表仅用于解释机制，不是核心成功标准。因此三个必要条件均满足。,0.97,105822
1688,01688_2020_a-decision-support-system-for-home-dialysis-visit-scheduling-and-nurse-routing.md,A decision support system for home dialysis visit scheduling and nurse routing,Ahmet Kandakoglu; Antoine Sauré; Wojtek Michalowski; Michael Aquino; Janet Graham; Brendan McCormick,2020,Decision Support Systems,10.1016/j.dss.2019.113224,True,independent_agreement_include,True,True,fully_objective_direct,objective_improvement_primary,implemented_software_artifact,,本文核心目标是设计、实现和验证一个实际运行的决策支持系统HDSS，通过MILP优化护士访问日程与路线，以提升完全客观可测量的结果指标：总行驶距离、总行驶时间、所需护士数和成本节约。这些指标不依赖人的主观感知、评分或语义判断；评价部分与医院管理员手工方案进行对比，使用真实TOH数据报告了明确的客观指标改善。HDSS具有明确的软件制品类别（决策支持系统），包含具体模块化组件，并在研究中实际实现、运行和验证。因此满足全部七项门槛。,0.98,73461
1882,01882_2025_from-detractors-to-enhancers-harnessing-the-power-of-ad-customization-for-user-engagement-on-med.md,From Detractors to Enhancers: Harnessing the Power of Ad Customization for User Engagement on Media Websites,Martin Adam; Dominick Kosin; Alexander Benlian,2025,Journal of the Association for Information Systems,10.17705/1jais.00907,True,independent_agreement_include,True,True,fully_objective_direct,objective_improvement_primary,implemented_artifact_component,,文章通过真实媒体网站上的随机现场实验，实际实现并运行了广告数量定制界面（AQC）这一网站功能组件。核心成功指标为用户的实际行为：访问时长、唯一页面数、回访率，均从点击流日志确定性观测，不依赖人类主观评价或语义判断。研究问题、假设、分析和贡献均以提高这些客观参与指标为核心目标。主观操纵检查（感知广告杂乱、感知可定制性）只用于验证实验设计，不作为共同主要结果；感知赋能仅作为理论机制未被测量。因此完全满足三个必要条件。,0.96,113237
1946,01946_2020_effectiveness-of-location-based-advertising-and-the-impact-of-interface-design.md,Effectiveness of Location-Based Advertising and the Impact of Interface Design,Dominik Molitor; Martin Spann; Anindya Ghose; Philipp Reichhart,2020,Journal of Management Information Systems,10.1080/07421222.2020.1759922,True,independent_agreement_include,True,True,fully_objective_direct,objective_improvement_primary,implemented_software_artifact,,文章以优惠券点击率这一完全客观的行为日志指标为核心结果，明确旨在识别和量化能够提升该指标的界面设计；其通过真实移动应用中的随机现场实验，实质修改了应用的界面组件（距离信息显示和排序机制），并在运行中实例化，产生了点击率结果。因此满足完全客观指标、核心目标为客观指标改进、以及软件制品实际实例化三个必要条件。,0.98,92451
4588,04588_2020_stratifying-no-show-patients-into-multiple-risk-groups-via-a-holistic-data-analytics-based-frame.md,Stratifying no-show patients into multiple risk groups via a holistic data analytics-based framework,Serhat Simsek; Thomas Tiahrt; Ali Dag,2020,Decision Support Systems,10.1016/j.dss.2020.113269,True,independent_agreement_include,True,True,objective_fixed_factual_labels,objective_improvement_primary,implemented_software_artifact,,文章以提升 no-show 预测性能（灵敏度、AUC等客观指标）为核心目标，这些指标基于实际赴约事实标签，不依赖主观判断；同时明确开发了一个可运行的 Web 决策支持工具，将最佳 ANN 模型实例化为实际制品，并提供访问链接和性能评价。因此满足全部三项必要条件。,0.95,81792
4624,04624_2022_reciprocity-or-self-interest-leveraging-digital-social-connections-for-healthy-behavior.md,Reciprocity or Self-Interest? Leveraging Digital Social Connections for Healthy Behavior,Che-Wei Liu; Guodong (Gordon) Gao; Ritu Agarwal,2022,MIS Quarterly,10.25300/misq/2022/16177,True,independent_agreement_include,True,True,fully_objective_direct,objective_improvement_primary,implemented_artifact_component,,"文章以满足客观身体活动改进为核心目标：主要结果变量为基于跑步距离的挑战完成率和总跑步距离，均由平台设备客观记录，不依赖主观感知。实验通过在真实移动健身社交平台上设计并运行三种数字激励条件（含好友赠礼、金币归属控制、不同推送消息等）实现该改进，且实际部署于1,738对用户并产生日志行为。虽然平台是现有系统且部分问卷包含主观测量，但问卷仅用于机制解释和非核心稳健性检验，不影响核心结果的客观性。因此符合严格纳入标准。",0.96,152663
5368,05368_2020_can-recommender-systems-reduce-healthcare-costs-the-role-of-time-pressure-and-cost-transparency.md,Can Recommender Systems Reduce Healthcare Costs? The Role of Time Pressure and Cost Transparency in Prescription Choice,Lina Bouayad; Balaji Padmanabhan; Kaushal Chari,2020,MIS Quarterly,10.25300/misq/2020/14435,True,independent_agreement_include,True,True,fully_objective_direct,objective_improvement_primary,implemented_software_artifact,,文章通过设计和运行一个成本感知的临床推荐系统原型，以查看/调整处方两个客观行为指标为核心因变量，评估了推荐系统对处方成本降低的作用。这些指标不依赖主观感知，成本降低是设计目标，系统被实际实例化和使用，符合严格纳入标准。,0.93,149717
5390,05390_2020_preference-enhanced-hybrid-expertise-retrieval-system-in-community-question-answering-services.md,Preference enhanced hybrid expertise retrieval system in community question answering services,Dipankar Kundu; Rajat Kumar Pal; Deba Prasad Mandal,2020,Decision Support Systems,10.1016/j.dss.2019.113164,True,independent_agreement_include,True,True,objective_fixed_factual_labels,objective_improvement_primary,implemented_software_artifact,,该文提出并实现了一个完整的、可运行的专家检索系统 PEHER，具有明确的软件制品类别（CQA 专家检索系统）和清晰的组件结构（偏好估计器、权威估计器、专家估计器），并在 Java 中实际实现、运行于四个真实数据集上。其评价指标 MRR、P@N、R@N、MSC@N、Accuracy 均基于实际回答者的事实标签，构念和测量完全客观，不依赖人类主观感知或语义判断。文章的核心目标明确是通过系统设计与组件改进提升这些客观检索指标，且全部主要成功结果均为这些客观指标。因此，该文满足纳入条件。,0.95,67508
5780,05780_2023_rolex-a-novel-method-for-interpretable-machine-learning-using-robust-local-explanations.md,ROLEX: A Novel Method for Interpretable Machine Learning Using Robust Local Explanations,Buomsoo (Raymond) Kim; Karthik Srinivasan; Sung Hye Kong; Jung Hee Kim; Chan Soo Shin; Sudha Ram,2023,MIS Quarterly,10.25300/misq/2022/17141,True,independent_agreement_include,True,True,fully_objective_direct,objective_improvement_primary,implemented_artifact_component,,文章以提升局部解释忠实性（Local Fidelity/LDA-Fidelity）为核心目标，该指标由模型输出和采样数据计算，不依赖人的主观感知或语义判断，属于完全客观的技术性能指标。作者实际设计并实现了ROLEX方法，并将其作为原型HPA系统/用户界面的核心解释组件运行于多个真实数据集和脆弱性骨折病例中，具备明确的软件制品类别、实质性组件改造和运行证据。专家访谈虽包含主观定性内容，但仅作为辅助性潜力说明，不构成核心成功判据。因此满足全部七项门槛。,0.85,131994
8352,08352_2024_interleaved-design-for-e-learning-theory-design-and-empirical-findings.md,"Interleaved Design for E-Learning: Theory, Design, and Empirical Findings",Andy Tao Li; De Liu; Sean Xin Xu; Cheng Yi,2024,MIS Quarterly,10.25300/misq/2023/17206,True,independent_agreement_include,True,True,fully_objective_direct,objective_improvement_primary,implemented_software_artifact,,文章核心目标是提升学习绩效这一完全客观的结果指标；主要评价指标为系统自动评分的后测阅读成绩，不依赖主观感知或语义判断；同时文章设计、构建并实际运行了一个包含HMM弱主题检测、知识地图和调度引擎的个性化在线学习系统，并通过现场实验对该系统的学习绩效提升进行评价。七个门槛均满足。,0.98,124505
